seed,std,n_success,n_failed,n_attempts,success_rate,wall_seconds,exit_code,verified_on_disk,skipped
1,0.0,184,316,500,0.368,214.8,0,True,False
1,0.02,185,315,500,0.37,216.1,0,True,False
1,0.05,184,316,500,0.368,214.3,0,True,False
1,0.1,180,320,500,0.36,212.0,0,True,False
1,0.15,181,319,500,0.362,213.4,0,True,False
1,0.2,181,319,500,0.362,215.4,0,True,False
1,0.3,185,315,500,0.37,212.9,0,True,False
1,0.4,174,326,500,0.348,213.7,0,True,False
1,0.5,164,336,500,0.328,213.3,0,True,False
1,0.65,149,351,500,0.298,211.7,0,True,False
1,0.8,137,363,500,0.274,210.7,0,True,False
1,1.0,100,400,500,0.2,214.2,0,True,False
1,1.3,75,425,500,0.15,212.2,0,True,False
1,1.6,56,444,500,0.112,213.2,0,True,False
1,2.0,33,467,500,0.066,211.1,0,True,False
1,2.5,30,470,500,0.06,212.0,0,True,False
1,3.0,26,474,500,0.052,211.3,0,True,False
1,4.0,17,483,500,0.034,212.3,0,True,False
1,5.5,14,486,500,0.028,213.4,0,True,False
1,8.0,12,488,500,0.024,212.4,0,True,False
