seed,arc_std_cm,n_success,n_failed,n_attempts,success_rate,wall_seconds,exit_code,verified_on_disk,skipped
4,0.5,177,323,500,0.354,237.6,0,True,False
4,0.6,172,328,500,0.344,237.5,0,True,False
4,0.7,167,333,500,0.334,234.9,0,True,False
4,0.8,164,336,500,0.328,238.2,0,True,False
4,0.9,168,332,500,0.336,234.5,0,True,False
4,1.0,161,339,500,0.322,237.0,0,True,False
4,1.1,161,339,500,0.322,238.4,0,True,False
4,1.2,160,340,500,0.32,236.6,0,True,False
4,1.3,160,340,500,0.32,236.1,0,True,False
4,1.4,154,346,500,0.308,237.8,0,True,False
4,1.5,141,359,500,0.282,235.4,0,True,False
4,1.8,133,367,500,0.266,238.6,0,True,False
4,2.0,135,365,500,0.27,237.6,0,True,False
4,2.5,119,381,500,0.238,237.6,0,True,False
4,3.0,90,410,500,0.18,238.7,0,True,False
